Number    fwhm_guess    z_obj
7   308.327916863  0.33851
8   796.606136506  0.597
13   439.634331673  1.13855
14   458.09579626  0.50152
16   588.396492327  0.53264
17   286.114476462  0.95621
20   215.282942489  1.12446
24   130.920573233  0.6468
27   346.938161306  1.32589
28   464.01685912  0.84114
29   380.293843147  0.70363
31   142.380365578  0.55808
33   651.181297759  1.33726
34   165.930257232  1.12065
35   132.166095498  0.52611
37   57.4067407141  1.24991
38   285.025764606  0.95035
42   159.380861106  1.91114
43   439.253169572  1.0192
44   163.419002281  0.95987
45   222.72414809  1.13843
47   633.892024646  0.85672
49   575.624752544  1.14685
59   217.59380961  0.48359
65   208.055408171  1.11088
67   76.1077075048  0.95381
68   195.755771614  1.34813
69   115.656660413  1.132
75   172.606040061  0.65197
83   344.250174426  0.92058
87   433.756636466  1.14346
90   136.227310847  1.11059
95   358.898100627  1.2797
96   101.901267512  0.67888
101   264.910386526  0.8524
107   124.105106594  1.017
111   514.443128572  1.33052
119   458.256179052  0.36631
120   338.847864485  1.34955
121   243.006048398  0.90629
129   81.4522187527  0.95673
137   121.660501439  0.65444
141   255.735722601  0.55473
144   84.9690999929  0.68932
154   359.252055727  1.14401
162   259.435239666  0.62476
164   106.791267016  0.58159
169   104.878099998  1.38105
175   272.516046993  1.13903
178   118.415774314  1.76703
188   625.479484896  1.33584
194   335.591362061  1.04308
199   95.4974427926  1.35022
200   105.762130488  1.09905
201   198.287717583  1.29051
210   125.275253799  1.12077
212   139.924691694  0.50581
214   114.985854338  1.33994
215   333.203131358  1.45772
216   372.00837765  1.25839
217   203.883735007  0.61906
220   240.297603387  0.63439
225   369.676664489  1.12813
236   153.088478626  0.53506
238   177.628827725  0.69781
241   131.908626827  2.02846
245   107.218884228  0.58778
247   108.147754178  1.33144
272   110.872921691  0.56738
273   94.7727741621  1.13268
282   104.88162682  1.91071
292   118.602917473  0.98528
297   268.154749355  1.13429
309   112.935921018  1.13112
317   118.111633685  0.57766
322   408.084003257  1.13706
332   110.193733415  0.35289
334   161.634379582  0.54138
341   233.977549689  0.45655
345   293.360210996  1.25218
361   361.426193665  1.33713
393   107.19766079  1.48289
396   420.95732207  1.20887
399   269.103232534  0.918
408   532.349633121  1.24052
427   86.087882466  1.68586
430   229.050139457  0.99703
437   439.162467629  0.99252
438   107.722141214  0.33046
441   155.239492859  1.34412
477   279.400379309  0.92455
479   202.972575875  0.58583
488   178.888456928  1.46936
492   414.425778338  1.26733
493   263.401178471  0.46461
504   109.998302495  0.70839
519   272.049641711  1.08212
526   307.366411075  1.34619
530   290.130796671  1.40526
1006   104.960832045  0.50761
1014   101.487942001  0.92279
1020   106.620424196  0.52241
1021   207.890272663  0.93352
2063   100.424818847  0.52771
2093   407.400214647  0.9567
2119   333.124389104  0.88248
